RTI_ID,Filing_Date,Year,Month,Month_Name,Quarter,Department,Category,Applicant_Type,State,Mode_of_Filing,PIO_Assigned,Response_Date,Response_Time_Days,Response_Status,Disposal_Type,Rejection_Reason,First_Appeal_Filed,First_Appeal_Date,First_Appeal_Outcome,Second_Appeal_CIC,Second_Appeal_Outcome,Is_Repeat_Filer,Compliant_Response,Breach_Days,Filing_YearMonth,Financial_Year,Escalated_to_CIC,Proactive_Disclosure_Candidate
HPCL-RTI-00030,2014-05-02,2014,5,May,Q2,LPG Division (Indane),LPG Distributorship Allotment,NGO / Civil Society,Gujarat,Online (RTI Online Portal),PIO-002,2014-05-19,17,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,Yes
HPCL-RTI-00031,2014-12-24,2014,12,December,Q4,HR & Personnel,Recruitment & Selection,NGO / Civil Society,Jharkhand,By Post,PIO-007,2015-01-11,18,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-12,FY 2014-15,No,Yes
HPCL-RTI-00032,2014-12-26,2014,12,December,Q4,Procurement & Materials,Vendor Empanelment,Individual Citizen,West Bengal,Online (RTI Online Portal),PIO-001,2015-02-03,39,Responded – Delayed (31–60 days),Rejected,Section 8(1)(j) – Personal/Private Information,No,,Not Applicable,No,Not Applicable,No,No,9,2014-12,FY 2014-15,No,No
HPCL-RTI-00033,2014-04-26,2014,4,April,Q2,Vizag Refinery,Environmental Compliance,Individual Citizen,Maharashtra,Offline (In-Person),PIO-002,2014-05-20,24,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-04,FY 2014-15,No,No
HPCL-RTI-00034,2014-05-27,2014,5,May,Q2,Retail Marketing,Petrol Pump Dealership Allotment,Individual Citizen,Others,Online (RTI Online Portal),PIO-005,2014-06-07,11,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,Yes
HPCL-RTI-00035,2014-10-14,2014,10,October,Q4,Procurement & Materials,Tender & Contract Details,Individual Citizen,Karnataka,Online (RTI Online Portal),PIO-012,2014-11-13,30,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-10,FY 2014-15,No,Yes
HPCL-RTI-00036,2014-09-24,2014,9,September,Q3,Projects & Pipelines,Tender & Contract Details,Individual Citizen,Maharashtra,Offline (In-Person),PIO-006,2014-10-07,13,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-09,FY 2014-15,No,Yes
HPCL-RTI-00037,2014-11-17,2014,11,November,Q4,LPG Division (Indane),LPG Subsidy & Pricing,Individual Citizen,Tamil Nadu,Offline (In-Person),PIO-004,2014-12-08,21,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-11,FY 2014-15,No,No
HPCL-RTI-00038,2014-11-20,2014,11,November,Q4,Retail Marketing,Fuel Pricing & Policy,Individual Citizen,Maharashtra,Offline (In-Person),PIO-007,2014-11-25,5,Responded On-Time,Rejected,Section 8(1)(e) – Fiduciary Relationship,Yes,2015-01-02,Partially Upheld,No,Not Applicable,No,Yes,0,2014-11,FY 2014-15,No,No
HPCL-RTI-00039,2014-06-29,2014,6,June,Q2,Vigilance,Policy & Service Rules,Individual Citizen,Maharashtra,Offline (In-Person),PIO-011,2014-07-14,15,Responded On-Time,Partially Provided,Not Applicable,Yes,2014-08-08,Rejected,Yes,Upheld by CIC,Yes,Yes,0,2014-06,FY 2014-15,Yes,No
HPCL-RTI-00040,2014-03-16,2014,3,March,Q1,Procurement & Materials,Tender & Contract Details,Individual Citizen,Odisha,Offline (In-Person),PIO-012,2014-04-09,24,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-03,FY 2013-14,No,Yes
HPCL-RTI-00041,2014-09-01,2014,9,September,Q3,"Health, Safety & Environment",Environmental Compliance,Lawyer / Legal Entity,Gujarat,By Post,PIO-012,2014-09-27,26,Responded On-Time,Information Provided,Not Applicable,Yes,2014-10-22,Rejected,Yes,Upheld by CIC,No,Yes,0,2014-09,FY 2014-15,Yes,No
HPCL-RTI-00042,2014-07-18,2014,7,July,Q3,Retail Marketing,Fuel Pricing & Policy,Individual Citizen,Tamil Nadu,Offline (In-Person),PIO-009,2014-08-08,21,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-07,FY 2014-15,No,No
HPCL-RTI-00043,2014-06-25,2014,6,June,Q2,LPG Division (Indane),Dealer/Distributor Grievances,Lawyer / Legal Entity,Delhi,Offline (In-Person),PIO-005,2014-07-14,19,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-06,FY 2014-15,No,No
HPCL-RTI-00044,2014-04-29,2014,4,April,Q2,Retail Marketing,Dealer/Distributor Grievances,Individual Citizen,Andhra Pradesh,Online (RTI Online Portal),PIO-004,2014-05-16,17,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-04,FY 2014-15,No,No
HPCL-RTI-00045,2014-05-07,2014,5,May,Q2,Vizag Refinery,Employee Records & Service Matters,NGO / Civil Society,Karnataka,By Post,PIO-013,2014-05-17,10,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,Yes
HPCL-RTI-00046,2014-04-13,2014,4,April,Q2,Vizag Refinery,Employee Records & Service Matters,Individual Citizen,Rajasthan,By Post,PIO-004,2014-04-30,17,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-04,FY 2014-15,No,Yes
HPCL-RTI-00047,2014-05-22,2014,5,May,Q2,Procurement & Materials,Policy & Service Rules,Lawyer / Legal Entity,Haryana,By Post,PIO-010,2014-06-10,19,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,No
HPCL-RTI-00048,2014-09-03,2014,9,September,Q3,Procurement & Materials,Vendor Empanelment,NGO / Civil Society,Maharashtra,Online (RTI Online Portal),PIO-006,2014-10-05,32,Responded – Delayed (31–60 days),Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,2,2014-09,FY 2014-15,No,No
HPCL-RTI-00049,2014-05-25,2014,5,May,Q2,Vigilance,Complaint Status & Outcome,Individual Citizen,Maharashtra,Online (RTI Online Portal),PIO-009,2014-06-28,34,Responded – Delayed (31–60 days),Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,4,2014-05,FY 2014-15,No,No
HPCL-RTI-00050,2014-01-31,2014,1,January,Q1,Procurement & Materials,Tender & Contract Details,Business Entity,Maharashtra,Online (RTI Online Portal),PIO-003,2014-02-07,7,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-01,FY 2013-14,No,Yes
HPCL-RTI-00051,2014-12-15,2014,12,December,Q4,Projects & Pipelines,Land Acquisition & Compensation,Individual Citizen,Karnataka,By Post,PIO-002,2015-01-12,28,Responded On-Time,Rejected,Section 8(1)(j) – Personal/Private Information,Yes,2015-02-28,Upheld,No,Not Applicable,No,Yes,0,2014-12,FY 2014-15,No,No
HPCL-RTI-00052,2014-09-13,2014,9,September,Q3,Finance & Accounts,Expenditure Details,Individual Citizen,Tamil Nadu,Offline (In-Person),PIO-002,2014-10-01,18,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-09,FY 2014-15,No,No
HPCL-RTI-00053,2014-10-26,2014,10,October,Q4,Corporate Planning & BD,Financial Statements & Budgets,Individual Citizen,Telangana,Offline (In-Person),PIO-009,2014-11-09,14,Responded On-Time,Partially Provided,Not Applicable,Yes,2014-12-15,Rejected,Yes,Rejected by CIC,No,Yes,0,2014-10,FY 2014-15,Yes,No
HPCL-RTI-00054,2014-11-23,2014,11,November,Q4,HR & Personnel,Recruitment & Selection,Lawyer / Legal Entity,Others,Online (RTI Online Portal),PIO-013,2014-12-22,29,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-11,FY 2014-15,No,Yes
HPCL-RTI-00055,2014-10-19,2014,10,October,Q4,LPG Division (Indane),LPG Connection & Cylinder Allocation,NGO / Civil Society,Maharashtra,By Post,PIO-004,2014-11-15,27,Responded On-Time,Rejected,Section 8(1)(d) – Commercial Confidence / IP,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-10,FY 2014-15,No,No
HPCL-RTI-00056,2014-06-11,2014,6,June,Q2,HR & Personnel,Recruitment & Selection,Individual Citizen,Gujarat,Online (RTI Online Portal),PIO-010,2014-07-12,31,Responded – Delayed (31–60 days),Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,No,1,2014-06,FY 2014-15,No,Yes
HPCL-RTI-00057,2014-12-03,2014,12,December,Q4,LPG Division (Indane),LPG Subsidy & Pricing,Individual Citizen,Rajasthan,By Post,PIO-011,2014-12-16,13,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-12,FY 2014-15,No,No
HPCL-RTI-00058,2014-04-13,2014,4,April,Q2,Projects & Pipelines,Land Acquisition & Compensation,Journalist / Media,Andhra Pradesh,Offline (In-Person),PIO-006,2014-05-05,22,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-04,FY 2014-15,No,No
HPCL-RTI-00059,2014-09-09,2014,9,September,Q3,LPG Division (Indane),LPG Connection & Cylinder Allocation,Individual Citizen,Maharashtra,Online (RTI Online Portal),PIO-009,2014-10-01,22,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-09,FY 2014-15,No,No
HPCL-RTI-00060,2014-10-09,2014,10,October,Q4,Projects & Pipelines,Environmental Compliance,Individual Citizen,Jharkhand,By Post,PIO-005,2014-11-13,35,Responded – Delayed (31–60 days),Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,No,5,2014-10,FY 2014-15,No,No
HPCL-RTI-00061,2014-07-09,2014,7,July,Q3,HR & Personnel,Employee Records & Service Matters,Individual Citizen,Tamil Nadu,Online (RTI Online Portal),PIO-013,2014-07-28,19,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-07,FY 2014-15,No,Yes
HPCL-RTI-00062,2014-06-15,2014,6,June,Q2,LPG Division (Indane),LPG Distributorship Allotment,Individual Citizen,Madhya Pradesh,Online (RTI Online Portal),PIO-002,2014-07-03,18,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-06,FY 2014-15,No,Yes
HPCL-RTI-00063,2014-01-05,2014,1,January,Q1,Mumbai Refinery,Incident/Accident Reports,Individual Citizen,Gujarat,Offline (In-Person),PIO-007,2014-01-19,14,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-01,FY 2013-14,No,No
HPCL-RTI-00064,2014-07-15,2014,7,July,Q3,"Health, Safety & Environment",HSE Policy & Standards,NGO / Civil Society,Himachal Pradesh,Offline (In-Person),PIO-010,2014-07-26,11,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-07,FY 2014-15,No,No
HPCL-RTI-00065,2014-10-21,2014,10,October,Q4,LPG Division (Indane),LPG Distributorship Allotment,Individual Citizen,Maharashtra,Online (RTI Online Portal),PIO-001,2014-11-16,26,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-10,FY 2014-15,No,Yes
HPCL-RTI-00066,2014-01-10,2014,1,January,Q1,Projects & Pipelines,Expenditure Details,Individual Citizen,Gujarat,Online (RTI Online Portal),PIO-013,2014-02-17,38,Responded – Delayed (31–60 days),Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,8,2014-01,FY 2013-14,No,No
HPCL-RTI-00067,2014-05-18,2014,5,May,Q2,LPG Division (Indane),LPG Connection & Cylinder Allocation,NGO / Civil Society,Punjab,Online (RTI Online Portal),PIO-003,2014-06-06,19,Responded On-Time,Rejected,Section 8(1)(e) – Fiduciary Relationship,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,No
HPCL-RTI-00068,2014-06-15,2014,6,June,Q2,Projects & Pipelines,Expenditure Details,Business Entity,Delhi,Offline (In-Person),PIO-002,2014-07-20,35,Responded – Delayed (31–60 days),Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,5,2014-06,FY 2014-15,No,No
HPCL-RTI-00069,2014-08-01,2014,8,August,Q3,HR & Personnel,Policy & Service Rules,NGO / Civil Society,Karnataka,By Post,PIO-013,2014-08-27,26,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-08,FY 2014-15,No,No
HPCL-RTI-00070,2014-10-16,2014,10,October,Q4,Retail Marketing,Fuel Pricing & Policy,NGO / Civil Society,Maharashtra,Offline (In-Person),PIO-011,2014-10-31,15,Responded On-Time,Rejected,Section 24 – Intelligence/Security Organisation,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-10,FY 2014-15,No,No
HPCL-RTI-00071,2014-04-04,2014,4,April,Q2,Vizag Refinery,Incident/Accident Reports,Individual Citizen,Delhi,Offline (In-Person),PIO-007,2014-05-02,28,Responded On-Time,Rejected,Section 8(1)(d) – Commercial Confidence / IP,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-04,FY 2014-15,No,No
HPCL-RTI-00072,2014-04-25,2014,4,April,Q2,Finance & Accounts,Policy & Service Rules,Lawyer / Legal Entity,Maharashtra,By Post,PIO-008,2014-05-28,33,Responded – Delayed (31–60 days),Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,3,2014-04,FY 2014-15,No,No
HPCL-RTI-00073,2014-10-21,2014,10,October,Q4,Finance & Accounts,Financial Statements & Budgets,Individual Citizen,Delhi,By Post,PIO-008,2014-11-11,21,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-10,FY 2014-15,No,No
HPCL-RTI-00074,2014-08-26,2014,8,August,Q3,LPG Division (Indane),LPG Connection & Cylinder Allocation,Individual Citizen,Maharashtra,Offline (In-Person),PIO-004,2014-09-26,31,Responded – Delayed (31–60 days),Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,1,2014-08,FY 2014-15,No,No
HPCL-RTI-00075,2014-02-27,2014,2,February,Q1,HR & Personnel,Policy & Service Rules,Individual Citizen,Tamil Nadu,Offline (In-Person),PIO-008,2014-03-04,5,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-02,FY 2013-14,No,No
HPCL-RTI-00076,2014-05-30,2014,5,May,Q2,Retail Marketing,Dealer/Distributor Grievances,NGO / Civil Society,Gujarat,By Post,PIO-007,2014-06-25,26,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,No
HPCL-RTI-00077,2014-01-24,2014,1,January,Q1,LPG Division (Indane),Policy & Service Rules,Individual Citizen,Uttar Pradesh,By Post,PIO-008,2014-02-13,20,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-01,FY 2013-14,No,No
HPCL-RTI-00078,2014-07-15,2014,7,July,Q3,Vigilance,Vigilance & Investigation Matters,Business Entity,Gujarat,Offline (In-Person),PIO-013,2014-08-10,26,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-07,FY 2014-15,No,No
HPCL-RTI-00079,2014-12-13,2014,12,December,Q4,Finance & Accounts,Expenditure Details,Individual Citizen,Maharashtra,Offline (In-Person),PIO-010,2015-01-04,22,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-12,FY 2014-15,No,No
HPCL-RTI-00080,2014-02-15,2014,2,February,Q1,HR & Personnel,Recruitment & Selection,Individual Citizen,Uttar Pradesh,Online (RTI Online Portal),PIO-008,2014-02-20,5,Responded On-Time,Rejected,Section 8(1)(j) – Personal/Private Information,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-02,FY 2013-14,No,Yes
HPCL-RTI-00081,2014-01-11,2014,1,January,Q1,Vizag Refinery,Tender & Contract Details,Individual Citizen,Andhra Pradesh,By Post,PIO-013,2014-02-02,22,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-01,FY 2013-14,No,Yes
HPCL-RTI-00082,2014-03-22,2014,3,March,Q1,"Health, Safety & Environment",Incident/Accident Reports,Lawyer / Legal Entity,Telangana,Online (RTI Online Portal),PIO-011,2014-04-14,23,Responded On-Time,Partially Provided,Not Applicable,Yes,2014-05-04,Rejected,No,Not Applicable,Yes,Yes,0,2014-03,FY 2013-14,No,No
HPCL-RTI-00083,2014-10-10,2014,10,October,Q4,Finance & Accounts,Salary & Pay Details,Individual Citizen,Delhi,Offline (In-Person),PIO-013,2014-11-12,33,Responded – Delayed (31–60 days),Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,3,2014-10,FY 2014-15,No,No
HPCL-RTI-00084,2014-05-22,2014,5,May,Q2,LPG Division (Indane),Policy & Service Rules,Individual Citizen,Telangana,Online (RTI Online Portal),PIO-005,2014-06-07,16,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,No
